STATIONID,Latitude,Longitude,LAKEID,County,Lake,Station,Study,water type
Bay-St-ewBay-1,30.175,-85.7367,Bay-St-ewBay,Bay,St. Andrew Bay-1,1,LW,Estuary
Bay-St-wBay-10,30.1317,-85.6825,Bay-St-wBay,Bay,St. Andrew Bay-10,1,LW,Estuary
Bay-St-wBay-11,30.0705,-85.6228,Bay-St-wBay,Bay,St. Andrew Bay-11,1,LW,Estuary
Bay-St. Andrew Bay-12,30.1219,-85.6934,Bay-St. Andrew Bay,Bay,St. Andrew Bay-12,1,LW,Estuary
Bay-St-ewBay-2,30.1567,-85.685,Bay-St-ewBay,Bay,St. Andrew Bay-2,1,LW,Estuary
Bay-St-ewBay-3,30.14,-85.6583,Bay-St-ewBay,Bay,St. Andrew Bay-3,1,LW,Estuary
Bay-St-ewBay-6,30.0933,-85.655,Bay-St-ewBay,Bay,St. Andrew Bay-6,1,LW,Estuary
Bay-St-ewBay-7,30.12,-85.73,Bay-St-ewBay,Bay,St. Andrew Bay-7,1,LW,Estuary
Bay-St-ewBay-8,30.09,-85.7733,Bay-St-ewBay,Bay,St. Andrew Bay-8,1,LW,Estuary
Bay-Upper-Goose-Bayou-1,30.2413,-85.6835,Bay-Upper-Goose-Bayou,Bay,Upper Goose Bayou-1,1,LW,Estuary
Bay-Warren-Bayou-1,30.2773,-85.737,Bay-Warren-Bayou,Bay,Warren Bayou-1,1,LW,River/Stream
Bay-Watson-Bayou-1,30.1363,-85.6348,Bay-Watson-Bayou,Bay,Watson Bayou-1,1,LW,Estuary
Bay-We-stBay-1,30.245,-85.8333,Bay-We-stBay,Bay,West Bay-1,1,LW,Estuary
Bay-We-stBay-10,30.2432,-85.8436,Bay-We-stBay,Bay,West Bay-10,1,LW,Estuary
Bay-We-stBay-11,30.2408,-85.8466,Bay-We-stBay,Bay,West Bay-11,1,LW,Estuary
Bay-West-Bay-12,30.2868,-85.8498,Bay-West-Bay,Bay,West Bay-12,1,LW,Estuary
Bay-We-stBay-2,30.2683,-85.8083,Bay-We-stBay,Bay,West Bay-2,1,LW,Estuary
Bay-We-stBay-3,30.3,-85.7667,Bay-We-stBay,Bay,West Bay-3,1,LW,Estuary
Bay-We-stBay-4,30.24,-85.7417,Bay-We-stBay,Bay,West Bay-4,1,LW,Estuary
Bay-We-stBay-5,30.2017,-85.7333,Bay-We-stBay,Bay,West Bay-5,1,LW,Estuary
Bay-We-stBay-6,30.2628,-85.8469,Bay-We-stBay,Bay,West Bay-6,1,LW,Estuary
Bay-We-stBay-7,30.2581,-85.847,Bay-We-stBay,Bay,West Bay-7,1,LW,Estuary
Bay-We-stBay-8,30.2534,-85.8468,Bay-We-stBay,Bay,West Bay-8,1,LW,Estuary
Bay-We-stBay-9,30.2487,-85.8455,Bay-We-stBay,Bay,West Bay-9,1,LW,Estuary
Bra-Bedford-1,29.8101,-82.0539,Bra-Bedford,Bradford,Bedford,1,LW,Lake
Bra-Bedford-2,29.8094,-82.0504,Bra-Bedford,Bradford,Bedford,2,LW,Lake
Bra-Bedford-3,29.8085,-82.0641,Bra-Bedford,Bradford,Bedford,3,LW,Lake
Bra-Bolt-1,29.7983,-82.0542,Bra-Bolt,Bradford,Bolt,1,LW,Lake
Bra-Bolt-2,29.7976,-82.0538,Bra-Bolt,Bradford,Bolt,2,LW,Lake
